t1_player_1;t1_player_2;t2_player_1;t2_player_2;score;set_1;set_2;set_3;id_player_t1_1;id_player_t1_2;id_player_t2_1;id_player_t2_2;id_tournament;id_match
John Isner;Jack Sock;Santiago Gonzalez;Edouard Roger-Vasselin;764 63;764;63;;147;147;0;0;19;1
Santiago Gonzalez;Edouard Roger-Vasselin;Rajeev Ram;Joe Salisbury;36 64 10-7;36;64;10-7;0;0;0;0;19;2
John Isner;Jack Sock;Andrey Golubev;Alexander Zverev;63 62;63;62;;147;147;947;3;19;3
Rajeev Ram;Joe Salisbury;Wesley Koolhof;Neal Skupski;764 75;764;75;;0;0;0;0;19;4
Andrey Golubev;Alexander Zverev;Taylor Fritz;Tommy Paul;64 763;64;763;;3;3;20;39;19;5
Santiago Gonzalez;Edouard Roger-Vasselin;Aslan Karatsev;Andrey Rublev;62 64;62;64;;0;0;22;7;19;6
John Isner;Jack Sock;Feliciano Lopez;Stefanos Tsitsipas;75 64;75;64;;147;147;112;5;19;7
Rajeev Ram;Joe Salisbury;Andres Molteni;Diego Schwartzman;63 762;63;762;;0;0;0;14;19;8
Aslan Karatsev;Andrey Rublev;Marcel Granollers;Horacio Zeballos;762 46 10-4;762;46;10-4;7;7;301;0;19;9
Taylor Fritz;Tommy Paul;Juan Sebastian Cabal;Robert Farah;61 64;61;64;;39;39;0;0;19;10
Feliciano Lopez;Stefanos Tsitsipas;Tim Puetz;Michael Venus;64 63;64;63;;5;5;1200;0;19;11
Wesley Koolhof;Neal Skupski;Federico Delbonis;Cameron Norrie;63 761;63;761;;0;0;34;12;19;12
Andrey Golubev;Alexander Zverev;Marcelo Arevalo;Jean-Julien Rojer;760 63;760;63;;3;3;658;0;19;13
Santiago Gonzalez;Edouard Roger-Vasselin;Rohan Bopanna;Denis Shapovalov;64 46 10-4;64;46;10-4;0;0;0;13;19;14
John Isner;Jack Sock;Thanasi Kokkinakis;Nick Kyrgios;63 763;63;763;;147;147;97;132;19;15
John Isner;Jack Sock;Nikola Mektic;Mate Pavic;762 36 10-7;762;36;10-7;147;147;0;0;19;16
Rajeev Ram;Joe Salisbury;Kevin Krawietz;Andreas Mies;762 64;762;64;;0;0;860;0;19;17
Marcel Granollers;Horacio Zeballos;Nicolas Mahut;Fabrice Martin;64 64;64;64;;0;0;484;0;19;18
Juan Sebastian Cabal;Robert Farah;Sebastian Korda;Jannik Sinner;768 62;768;62;;0;0;38;10;19;19
Marcelo Arevalo;Jean-Julien Rojer;John Peers;Filip Polasek;36 62 11-9;36;62;11-9;0;0;0;0;19;20
Tim Puetz;Michael Venus;Hubert Hurkacz;Lukasz Kubot;62 62;62;62;;0;0;11;0;19;21
Wesley Koolhof;Neal Skupski;Simone Bolelli;Fabio Fognini;64 64;64;64;;0;0;904;36;19;22
Rohan Bopanna;Denis Shapovalov;Jamie Murray;Bruno Soares;764 64;764;64;;13;13;0;0;19;23
Federico Delbonis;Cameron Norrie;Ariel Behar;Gonzalo Escobar;61 63;61;63;;12;12;0;822;19;24
Taylor Fritz;Tommy Paul;Carlos Alcaraz;Pablo Carreno Busta;63 675 10-7;63;675;10-7;39;39;19;16;19;25
Andrey Golubev;Alexander Zverev;Daniel Evans;Karen Khachanov;75 63;75;63;;3;3;29;26;19;26
Santiago Gonzalez;Edouard Roger-Vasselin;Sander Gille;Matwe Middelkoop;764 61;764;61;;0;0;0;0;19;27
Aslan Karatsev;Andrey Rublev;Roberto Bautista Agut;Alejandro Davidovich Fokina;674 766 10-5;674;766;10-5;7;7;15;45;19;28
Thanasi Kokkinakis;Nick Kyrgios;Ivan Dodig;Marcelo Melo;75 16 10-2;75;16;10-2;132;132;0;0;19;29
Feliciano Lopez;Stefanos Tsitsipas;Raven Klaasen;Ben McLachlan;765 64;765;64;;5;5;0;0;19;30
Andres Molteni;Diego Schwartzman;Tomislav Brkic;Nikola Cacic;63 75;63;75;;14;14;797;1568;19;31
